signal_id,app_id,review_text,review_score,review_date,helpful_count
pm_app1_review_1,1,"I don't know what happened to this app. It was super on point up until a year or so ago. Can't do quick resend of money unless I go back to ones I did in early 2024. Finally got my points when they ""fixed"" it. Went from 110 to 1290 that's how long it's been screwed up. Super frustrating to use now since I consistently send the same person money. I'd rather go into a store or call just to get it done because this app is trash now. Sorry not sorry.",1,2025-04-03,6
pm_app1_review_2,1,"app was good. then the randomly locked my account a couple days ago demanding a lot of personal information about myself and the people I am sending money too and my relationship with them, as well as my banking information and where my money comes from. this is none of their business and I will find another way to send/receive money. I've been a loyal customer for many years but will no longer use this ridiculous service",1,2025-04-13,3
pm_app1_review_3,1,"Terrible user interface 🤬 Menus cluttered. App display is garbled and/or disappears if I temporarily switch to another app to copy & paste my bank account number. It won't let me paste! If I multitask and switch to another app, WU disappears and I see the phone wallpaper instead. There are OBVIOUSLY issues with screen refresh. App is sluggish and poorly designed. I'm using Google Pixel 9 Pro XL (latest Android 15 update). Do better!",1,2025-03-17,48
pm_app1_review_4,1,I got this app to send money quickly without having to wait in lines at the store. Unfortunately it only worked a few times. After that it would say the money would be there in minutes but once I paid it would change to say it would take 3 days. After the 3 days it would either cancel or refund the money. Which is good because I wouldn't lose the money but it also never made it to my family members. I reached out to them asking why this kept happening but all they did was track my order.,1,2025-02-01,23
pm_app1_review_5,1,You're honestly better off using another app or your bank account to wire money. A scammer tried to hack into my account and send money and when I called customer service for help the only solution they had was to deactivate my account indefinitely. They actually deactivated my account after I got off the phone and they just sent me an email. Terrible!! I also had another issue with them trying to send money. They have an ancient systems in place. Western Union needs to do better!,1,2024-12-19,22
pm_app1_review_6,1,"worked fine on my 2 transfers. Then, it was impossible to log in, even resetting my password. The page was loading forever. My account got locked even when I answered my security question correctly. Will call to resolve the issue. Until then, 1 star is plenty for the trouble I went through.",1,2024-12-13,25
pm_app1_review_7,1,"Every time I try to send money to India, it gives an error code. WU has my bank info, and only charges 99¢ for bank transfers. But they ALWAYS fail, because they want you to spend MORE using a different account, like credit card. It takes weeks for them to ""fix"" your account for the transfer to work. The next time you want to send money, IT HAPPENS ALL OVER AGAIN! I cannot decide if they are incompetent, or are forcing the system to fail on the cheapest transfer in order for you to pay more. 👎",1,2024-11-12,30
pm_app1_review_8,1,"When it works it's great but for some reason when you get to the black screen where it says that it needs more information and your supposed to press next, the next button is missing and you cannot proceed with making your selection as to why you are sending money. Hope they fix this issue because I use this app too much for it not to be working properly!!!",1,2024-11-16,5
pm_app1_review_9,1,"Terrible been trying to send money to Australia it keeps saying technical error please try again later. It's giving me the error code 400 every time. What is that mean? I entered everything correctly even double check but it's still not going thru. I've been using this app for years to send money to family members before I had no problem but suddenly I think starting two months ago it's giving me problems. It takes forever to load, I think it takes me like 45 minutes trying to send money.",1,2024-11-25,5
pm_app1_review_10,1,The app says it's simple easy to use but it is not. I am officially getting frustrated because every time I send send money to one of my loved ones they always ask the same question what is it for and then I always get an email saying profile updated and then I get another email saying transaction was sent It is annoying that this isn't constant thing and the app is just too much there is so many different things that lead you to this lead you to that The only thing simple is the quick send,1,2025-01-18,3
pm_app1_review_11,1,"Despite the high fees, the app contains annoying ads and popups. If you refuse to let it bother you with unnecessary notifications, there are frequent popups that that make it difficult to log in. Worse, it will corrupt the name of the sender randomly. This means that it will send to the wrong person, requiring that one cancel the transaction. This may tie one's money up for a week while they wait for a refund. Horrible app. There are many alternatives. Use them instead.",1,2024-04-09,79
