source,unified_category,num_apps,total_reviews
play_market_apps,Productivity & Business,34,76519
play_market_apps,Food & Drink,20,75348
play_market_apps,Entertainment & Media,30,66378
play_market_apps,Shopping & Commerce,22,56736
play_market_apps,Communication & Social,34,49576
play_market_apps,Finance & Payments,12,34502
play_market_apps,Lifestyle & Home,5,24265
play_market_apps,News & Magazines,7,23738
play_market_apps,Health & Fitness,8,17699
play_market_apps,Travel & Local,9,15179
play_market_apps,Education,2,13604
play_market_apps,Music & Audio,8,7494
play_market_apps,Maps & Navigation,3,4269
play_market_apps,Photo & Video,5,1393
play_market_apps,Other,2,0
play_market_apps,Tools & Utilities,14,0
play_market_apps,Weather,2,0
play_market_games,Games,335,583170
sealuzh_app_reviews,Other,185,169818
sealuzh_app_reviews,Communication & Social,16,29085
sealuzh_app_reviews,Games,11,16304
sealuzh_app_reviews,Security & Privacy,23,13811
sealuzh_app_reviews,Open Source / Developer,69,13086
sealuzh_app_reviews,Tools & Utilities,28,10779
sealuzh_app_reviews,Productivity & Business,22,8058
sealuzh_app_reviews,Education,8,7275
sealuzh_app_reviews,Maps & Navigation,11,5860
sealuzh_app_reviews,Photo & Video,6,5326
sealuzh_app_reviews,Weather,2,2501
sealuzh_app_reviews,Music & Audio,7,2461
sealuzh_app_reviews,News & Magazines,4,1921
sealuzh_app_reviews,Health & Fitness,1,1660
sealuzh_app_reviews,Shopping & Commerce,1,81
sealuzh_app_reviews,Finance & Payments,1,39
trustpilot,Lifestyle & Home,310,22610
trustpilot,Health & Fitness,235,16979
trustpilot,Productivity & Business,234,16646
trustpilot,Entertainment & Media,219,15972
trustpilot,Travel & Local,117,11190
trustpilot,Food & Drink,193,11099
trustpilot,Education,86,6365
trustpilot,Shopping & Commerce,67,5794
trustpilot,Finance & Payments,70,5729
trustpilot,Tools & Utilities,69,5596
trustpilot,Other,80,5201
