source,product_type,app_key,app_name,unified_category,play_category_clean,section,review_count,score,ratings_count,downloads
trustpilot,Company / Service,avadolearning.com,avadolearning.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,e-careers.com,e-careers.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,freecoursesinengland.co.uk,freecoursesinengland.co.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,icslearn.co.uk,icslearn.co.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,kaplan.co.uk,kaplan.co.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,oxbridgehomelearning.uk,oxbridgehomelearning.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,passmefast.co.uk,passmefast.co.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,reddrivingschool.com,reddrivingschool.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,theknowledgeacademy.com,theknowledgeacademy.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,thettcgroup.com,thettcgroup.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,trinitycollege.com,trinitycollege.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.citylit.ac.uk,www.citylit.ac.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.get-licensed.co.uk,www.get-licensed.co.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.i-to-i.com,www.i-to-i.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.learndirect.com,www.learndirect.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.learningpeople.com,www.learningpeople.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.nationalintensive.com,www.nationalintensive.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.oneeducation.org.uk,www.oneeducation.org.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.passngo.com,www.passngo.com,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.virtual-college.co.uk,www.virtual-college.co.uk,Education,Education & Training,,100,,,
trustpilot,Company / Service,www.youngdriver.eu,www.youngdriver.eu,Education,Education & Training,,100,,,
trustpilot,Company / Service,firebrand.training,firebrand.training,Education,Education & Training,,99,,,
trustpilot,Company / Service,itonlinelearning.com,itonlinelearning.com,Education,Education & Training,,99,,,
trustpilot,Company / Service,safemedicate.com,safemedicate.com,Education,Education & Training,,99,,,
trustpilot,Company / Service,www.busuu.com,www.busuu.com,Education,Education & Training,,99,,,
trustpilot,Company / Service,purplecv.co.uk,purplecv.co.uk,Education,Education & Training,,98,,,
trustpilot,Company / Service,www.accesstraininguk.co.uk,www.accesstraininguk.co.uk,Education,Education & Training,,97,,,
trustpilot,Company / Service,www.sheilds.org,www.sheilds.org,Education,Education & Training,,97,,,
trustpilot,Company / Service,explorelearning.co.uk,explorelearning.co.uk,Education,Education & Training,,95,,,
trustpilot,Company / Service,www.tradeskills4u.co.uk,www.tradeskills4u.co.uk,Education,Education & Training,,95,,,
trustpilot,Company / Service,marisapeer.com,marisapeer.com,Education,Education & Training,,94,,,
trustpilot,Company / Service,www.medicalinterviewsuk.co.uk,www.medicalinterviewsuk.co.uk,Education,Education & Training,,94,,,
trustpilot,Company / Service,www.harrietellis.com,www.harrietellis.com,Education,Education & Training,,93,,,
trustpilot,Company / Service,billplant.co.uk,billplant.co.uk,Education,Education & Training,,91,,,
trustpilot,Company / Service,www.animalcoursesdirect.co.uk,www.animalcoursesdirect.co.uk,Education,Education & Training,,90,,,
trustpilot,Company / Service,www.hyperiondev.com,www.hyperiondev.com,Education,Education & Training,,90,,,
trustpilot,Company / Service,art-k.co.uk,art-k.co.uk,Education,Education & Training,,88,,,
trustpilot,Company / Service,arden.ac.uk,arden.ac.uk,Education,Education & Training,,87,,,
trustpilot,Company / Service,ihlondon.com,ihlondon.com,Education,Education & Training,,86,,,
trustpilot,Company / Service,firstpointusa.com,firstpointusa.com,Education,Education & Training,,85,,,
trustpilot,Company / Service,www.goldcross-training.co.uk,www.goldcross-training.co.uk,Education,Education & Training,,83,,,
trustpilot,Company / Service,ridleyacademy.com,ridleyacademy.com,Education,Education & Training,,82,,,
trustpilot,Company / Service,www.hudsoncourses.com,www.hudsoncourses.com,Education,Education & Training,,80,,,
trustpilot,Company / Service,www.drivejohnsons.co.uk,www.drivejohnsons.co.uk,Education,Education & Training,,79,,,
trustpilot,Company / Service,www.trainingstrategies.co.uk,www.trainingstrategies.co.uk,Education,Education & Training,,79,,,
trustpilot,Company / Service,www.origym.co.uk,www.origym.co.uk,Education,Education & Training,,78,,,
trustpilot,Company / Service,aroramedicaleducation.co.uk,aroramedicaleducation.co.uk,Education,Education & Training,,77,,,
trustpilot,Company / Service,flexebee.co.uk,flexebee.co.uk,Education,Education & Training,,76,,,
trustpilot,Company / Service,thedigitalcollege.co.uk,thedigitalcollege.co.uk,Education,Education & Training,,76,,,
trustpilot,Company / Service,theorytestpass.com,theorytestpass.com,Education,Education & Training,,75,,,
trustpilot,Company / Service,fortray.com,fortray.com,Education,Education & Training,,74,,,
trustpilot,Company / Service,www.nextstepbeauty.co.uk,www.nextstepbeauty.co.uk,Education,Education & Training,,73,,,
trustpilot,Company / Service,www.rocksteadymusicschool.com,www.rocksteadymusicschool.com,Education,Education & Training,,73,,,
trustpilot,Company / Service,www.sensoryintegrationeducation.com,www.sensoryintegrationeducation.com,Education,Education & Training,,71,,,
